id,en,ru,be,zh,sp,fi,bel,pl,emoji
$machinetranslat,"The language you have chosen has been translated through Google Translate and DeepL, so there may be errors. If you know the language, you can help us by clicking here!",Помочь с переводом игры,Перакладаць дапамагаў Google Translate. Дапамагчы з перакладам.,您选择的语言已通过 Google 翻译和 Deepl 翻译，因此可能存在错误。如果您懂该语言，可以点击此处帮助我们！,"El idioma que has elegido ha sido traducido a través de Google Translate y Deepl, por lo que puede haber errores. Si conoces el idioma, ¡puedes ayudarnos haciendo clic aquí!","Kieli jonka sinä valitsit oli tehty kääntäjän ja ""DeepL"" avulla. Koska tämä käännös on ensimmäinen versio, siellä voi todella olla virheitä. Jos näet virhen, lähettä meille palautetta!",Pieraklad byŭ zroblieny z dapamohaj Google Pierakladčyk i sajta https://seveleu.com/lacinka/converter-ru. Dapamahčy z pierakladam?,"Język, który wybrałeś, został w całości wykonany z „DeepL”. Jeśli jesteś polskojęzycznym użytkownikiem i widzisz błąd, wyślij nam opinię!","The Emoji language was created using Yandex Translator. This is a joke language, so it may not display well on mobile devices."
$pausemenu,Pause menu,Меню паузы,Меню паўзы,暂停菜单,Menú Pausa,Pysäytysvalikko,Mieniu paŭzy,Menu pauzy,⏸ 🍣
$resume,Resume,Продолжить,Працягнуць,待续,Continuación,Jatkaa peliä,Praciahnuć,Wznowienie,😣
$quit,Quit,Выход,Вынахад,输出,Salida,Poistua,Vynachad,Odejdź,🚪
$pausetext,Press ESC to continue,Нажмите ESC чтобы продолжить,Націсніце ESC каб працягнуць,按 ESC 继续,Pulse ESC para continuar,Paina ESC jatkaaksesi,Naciśnicie ESC kab praciahnuć,"Naciśnij ESC, aby kontynuować",⏸ 5⃣ 😣
$help,Help,Помочь с переводом игры,Дапамагчы,帮助,Ayuda,Auttaa pelin kääntämiseen!,Dapamahčy,Pomoc,ℹ ⏮ ✍ 🕹
$youdead,You have died!,Вы умерли!,Вы памерлі!,你死定了！,¡Estás muerto!,Olet kuollut!,Vy pamierli!,Umarłeś!,👆 ☠️ ❗
$score,Score,Счёт,Рахунак,查看,Controlar,Pistemäärä,Rachunak,Wynik,🏧
$bestscore,Best score,Лучший счёт,Лепшы рахунак,最佳成绩,Mejor puntuación,Paras pistemäärä,Liepšy rachunak,Najlepszy wynik,🏆 💯
$gotomenu,Go to menu,В меню,Выйсці ў меню,退出到菜单,Salir al menú,Poistu valikkoon,Vyjsci ŭ mieniu,Przejdź do menu,🍣
$placeholdergmname,Choose a gamemode,Выберите режим,Абярыце рэжым,选择模式,Seleccione el modo,Valitse pelin,Abiarycie režym,Wybierz tryb gry,🖊 📳
$placeholdergmdesc,Choose a gamemode to learn more.,Выберите режим чтобы узнать больше,Абярыце рэжым каб даведацца больш,选择模式以了解更多信息,Seleccione el modo para saber más,"Valitse pelin, että saa lisää tietoa.",Abiarycie režym kab daviedacca boĺš,"Wybierz tryb gry, aby dowiedzieć się więcej.",🖊 📳 💡 🌅
$gamemodeselect,Choose a gamemode,Выберите режим,Абярыце рэжым,选择模式,Seleccione el modo,Valitse pelin,Abiarycie režym,Wybierz tryb gry,🖊 📳
$standardmodename,Standard mode,Стандартный режим,Стандартны рэжым,标准模式,Modo estándar,Tavallinen peli,Standartny režym,Tryb standardowy,🐩 📳
$standardmodedesc,"Just the same old standard mode, what else to say?","Самый стандартный режим, что ещё говорить?","Самы стандартны рэжым, што яшчэ казаць?",最标准的模式，我还能说什么？,"El modo más estándar, ¿qué más decir?",Klassikko! Tavallinen peli.,"Samy standartny režym, što jašče kazać?","Najbardziej standardowy tryb, co jeszcze można powiedzieć?","🌅 🐩 📳, ⚫️❔ 🙆 💪 👤 💬 ❓"
$moderror,Mod error!,Ошибка мода!,Памылка мода!,模组错误！,Error de moda!,Modissä tapahtui virhe!,Pamylka moda!,Błąd moda!,👗 ❌ ❗
$modnameerror,Mod name missing,Название не установлено,Назва не ўстаноўлена,名称未设置,Nombre no establecido,Nimi ei lisätty,Nazva nie ŭstanoŭliena,Brak nazwy moda,📛 🚫 ⚒
$moddescerror,Mod description missing,Описание не установлено,Апісанне не ўстаноўлена,描述未设置,Descripción no instalada,Seloste ei lisätty,Apisańnie nie ŭstanoŭliena,Brak opisu modu,📛 🚫 ⚒
$mods,Mods,Моды,Моды,模组,Modas,Modit,Mody,Mody,🧟‍♂
$close,Close,Закрыть,Зачыніць,关闭,Cerrar,Sulje,Začynić,Zamknij,🔐
$modtexterror,The text is not set,Текст не установлен,Тэкст не ўстаноўлены,文本未设置,Texto no instalado,Tekstiä ei asetettu,Tekst nie ŭstanoŭlieny,Tekst nie został ustawiony,✍ 🚫 ⚒
$actionserror,Actions not set,События не установлены,Падзеі не ўстаноўлены,事件未设置,Eventos no establecidos,Tapahtumia ei asetettu,Padziei nie ŭstanoŭlieny,Działania nie zostały ustawione,🎉 🚫 ⚒
$message,Message,Сообщение,Паведамленне,信息,Mensaje,Viesti,Paviedamlieńnie,Wiadomość,📧
$open,Open,Открыть,Адкрыць,打开,Abierto,Avaa,Adkrycʹ,Otwarty,📂
$website,Website,Веб-сайт,Вэб-сайт,网站,Sitio web,Netti-sivusto,Veb-sajt,Strona,🕸
$shop,Shop,Магазин,Крама,店铺,Comercio,Kauppa,Krama,Sklep,🏬
$notset,Not set,Не установлено,Не ўстаноўлена,未安装,No instalado,Ei asetettu,Nje ŭstanoŭlena,Nie ustawiono,🚫 ❎
$buy,Buy,Купить,Купіць,购买,Comprar,Ostaa,Kupicʹ,Kup,💲
$received,received,получено,атрымана,收到,recibido,saatu,atrymana,otrzymany,📨
$modsforzr2.0,Mods for ZR2.0,Моды для ZR2.0,Моды для ZR2.0,ZR2.0 的改装,Mods para ZR2.0,ZR2.0:n modit,Mody dla ZR2.0,Mody dla ZR2.0,🧟‍♂ 💧 ZR2.0
$learnmore,Learn more,Узнать больше,Даведацца больш,更多信息,Más información,Lisätietoa,Daviedacca bołʹš,Dowiedz się więcej,💡 🌅
$loading,"Loading, please wait...","Загрузка, пожалуйста подождите...","Загрузка, калі ласка пачакайце...",正在加载，请稍候...,"Cargando, por favor espere...","Ladataan, odota hetki","Zagruzka, kałi łaska pačakajcie...","Ładowanie, proszę czekać...","⏬, 🙏 ⌛..."
$errorinternetmods,"Couldn't load mod list, reply code: %s. Please check your internet connection or accessibility of \""kteam.veliona.no\"".","Не получилось получить список модов, код ответа: %s. Проверьте подключение к интернету или доступность адреса \""kteam.veliona.no\"".","Не ўдалося атрымаць спіс модаў, код адказу: %s. Праверце падлучэнне да інтэрнэту або даступнасць адраса \""kteam.veliona.no\"".",无法加载模式列表，回复代码： %s. ,"No se pudo cargar la lista de mods, código de respuesta: %s. Por favor, comprueba tu conexión a internet o la accesibilidad de \""kteam.veliona.no\"".","Modinlistaa ei voitu ladata, vastauskoodi: %s. Tarkista sinun internet-yhteytesi tai osoitteen \""kteam.veliona.no\"" saavutettavuus.","Nje ŭdałosia atrymacʹ spis modaŭ, kod adkazu: %s. Praviercie padłučennie da internetu abo dastupnascʹ adrasa \""kteam.veliona.no\"".","Nie można załadować listy modów, kod odpowiedzi: %s. Sprawdź połączenie internetowe lub dostępność strony \""kteam.veliona.no\"".","Couldn't load mod list, reply code: %s. Please check your internet connection or accessibility of \""kteam.veliona.no\""."
$errorinternetmods0,"Couldn't load mod list, you have (in opinion of zombu psychic) disabled internet.","Не получилось получить список модов, у вас (по мнению экстрасэнса зомбу) отключён интернет.","Не атрымалася атрымаць спіс модаў, у вас (па меркаванні экстрасэнса зомбу) адключаны інтэрнэт.",无法获取模式列表，您的网络（据 Zombu 灵媒称）瘫痪了。,"No se puede obtener la lista de mods, su Internet es (de acuerdo con zombu psíquica) hacia abajo.","Modinlistaa ei voitu ladata, sinulla (zombun näkemyksen mukaan) ei ole internet-yhteyttä.","Nje atrymałasia atrymacʹ spis modaŭ, u vas (pa mierkavanni ekstrasensa zombu) adklučany internet.","Nie mogłem pobrać listy modów, twój internet (według zombu psychic) nie działa.","Couldn't load mod list, you have (in opinion of zombu psychic) disabled internet."
$selectmod,Select a mod...,Выберите мод...,Абярыце рэжым...,选择模式...,Seleccione un mod...,Valitse modin...,Abiarycie režym...,Wybierz mod...,⚒ 🧟‍♂...
$downloadmod,Download mod,Скачать мод,Спампаваць мод,下载模式,Descargar mod,Lataa modin,Spampavacʹ mod,Pobierz mod,⏬ 🧟‍♂
$classicmodename,Classic mode,Классический режим,Класічны рэжым,经典模式,Modo clásico,Klassillinen pelimuoto,Kłasičny režym,Tryb klasyczny,🌟 📳
$classicmodedesc,"Classic mode from the original Zurvival, hardcore! You can try to compete with friends!","Классический режим из обычного Zurvival'a, хардкор! Можно соревноваться с друзьями!",Рэжым наўпрост з Zurvival. Толькі хардкор!,Zurvival 中的游戏模式。只有硬核！,Un modo sacado directamente de Zurvival. ¡Sólo que hardcore!,"Klassillinen pelimuoto ensimmäisestä Zurvivallistä, hardcore! Voit kilpailla kavereiden kanssa!",Režym naŭprost z Zurvival. Tołʹki chardkor!,Tryb gry widoczny w grze Zurvival. Tylko hardcore!,📳 📏 ⚪️➡️ Zurvival. 👯 🕴 ❗
$storage,Storage,Склад,Склад,组成,Almacén,Varasto,Skład,Skład,🏬
$restartrequired,Game restart required!,Требуется перезапуск игры!,Патрабуецца перазапуск гульні!,需要重新启动游戏！,Es necesario reiniciar el juego.,Käynnistä peli uudelleen!,Patrabujecca pierazapusk gułʹni!,Wymagany restart gry!,⏏ 🕹 ✔
$disablesmoothtransitions,Smooth transitions,Плавные переходы,Плыўныя пераходы,禁用平滑过渡,Transiciones suaves,Hienot siirtymät,Płyŭnyja pierachody,Płynne przejścia, 🍦 🔀
$wintermodename,Winter mode,Зимний режим,Зімовы рэжым,冬季模式,Modo invierno,Talvinen pelimuoto,Зімовы рэжым,Tryb zimowy,❄️📳
$wintermodedesc,"You found yourself in a forest in the middle of a zombie-apocalypse. Collect planks, defend yourself from zombu's, and don't let the campfire extinguish.","Вы оказались в лесу посреди зомби-апокалисиса зимой. Собирайте палки, защищайтесь от зомбу, и не дайте костру потухнуть.


","Вы апынуліся ў лесе пасярод зомбі-апакалісісу зімой. Збірайце палкі, абараняйцеся ад зомбу, і не дайце вогнішча патухнуць.",你发现自己身处一场冬季丧尸末日中的森林里。收集树枝，保护自己免受丧尸攻击，并保持篝火燃烧。,"Te encuentras en el bosque en medio de un apocalipsis zombu invernal. Recoge leña, protégete de los zombis y mantén el fuego encendido.","Olit löytynyt itsesi metsässä keskellä zombiapokalypsia talvella. Kerää kepiä, puolustaa itseäsi zombuista, ja älä anna kokolle sammua.","Vy apynulisia ŭ liesie pasiarod zombi-apakalisisu zimoj. Źbirajcie palki, abaraniajciesia ad zombu, i nie dajcie vohnišča patuchnuć.","Znalazłeś się w lesie w środku zimowej apokalipsy zombu. Zbieraj patyki, chroń się przed zombu i podtrzymuj ogień.
","👤🌲🌳🧟‍♂️🔥💥
🪵➕🪵🛡️🧟‍♂️🚫
🔥❌➡️🏕️"
$coldness,Frost,Мороз,Мароз,冷冻,Congelación,Jäätyminen,Maroz,Zamrażanie,❄️
$inventory,Inventory,Инвентарь,Інвентар,存货,Inventario,Tasku,Inventar',Spis,📦🗂️📝
$starterpistol,PP-182,ПК-182,ПК-182,PP-182,PP-182,PP-182,PK-182,PP-182,PP-182
$startermp,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5,MP5
$selectedweapon,Selected weapon: %s. \nChange weapons using mouse wheel.,Выбран: %s. \nОружие выбирается колёсиком мыши,Выбраная зброя: %s. \nЗмяняйце зброю з дапамогай скролу мышы.,"已选武器：%s。\n使用鼠标滚轮切换武器。
","Arma seleccionada: %s. \nCambia de arma con la rueda del ratón.
",Valittu ase: %s. \nVaihda aseita hiiren rullalla.,Vybranaja zbroja: %s. \nŹmianiajcie zbroju z dapamohaj skrolu myšy.,Wybrana broń: %s. \nZmień broń za pomocą kółka myszy.,🖊: %s. \n🗡 🖊 ⏮ 🐁 🎡
$disablegunhints,Disable weapon hints,Отключить подсказки,"Выключыць адлюстраванне бягучай зброі
","关闭当前武器显示
",Desactivar la visualización del arma actual,Poista aseiden vihjeet,"Vykliučyć adliustravańnie biahučaj zbroi
",Wyłączyć wyświetlanie aktualnej broni,❎ 🗡 🎱
